iter	Passed	Remaining
0	0	95
1	1	87
2	2	81
3	3	74
4	3	73
5	4	72
6	5	73
7	6	74
8	7	75
9	8	76
10	9	77
11	10	77
12	11	78
13	13	80
14	14	80
15	14	78
16	15	76
17	16	74
18	17	73
19	17	71
20	18	70
21	19	69
22	20	67
23	20	66
24	21	64
25	22	64
26	23	63
27	24	63
28	25	62
29	26	61
30	27	61
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	33	55
38	34	53
39	35	52
40	35	51
41	36	50
42	37	49
43	37	48
44	38	47
45	39	46
46	40	45
47	41	44
48	42	44
49	43	43
50	44	42
51	45	41
52	46	40
53	46	39
54	47	38
55	47	37
56	48	36
57	49	35
58	50	34
59	51	34
60	51	33
61	52	32
62	53	31
63	53	30
64	54	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	61	22
73	62	22
74	63	21
75	64	20
76	64	19
77	65	18
78	66	17
79	66	16
80	67	15
81	68	15
82	69	14
83	69	13
84	71	12
85	72	11
86	73	10
87	74	10
88	74	9
89	75	8
90	76	7
91	77	6
92	78	5
93	79	5
94	79	4
95	80	3
96	81	2
97	82	1
98	82	0
99	83	0
